2022 San Francisco Chronicle Wine Competition Medal Winners Sorted by Winery,,,,,,,,
Winery,State,Category Name,Vintage,AVA,Vineyard,Variety,Price,Award
4R Ranch Vineyards & Winery,TX,Albarino,2021,Texas,Albarino,,$24.00 ,Silver
4R Ranch Vineyards & Winery,TX,Roussanne,2020,Texas High Plains,Roussanne,,$32.00 ,Silver
4R Ranch Vineyards & Winery,TX,Berry Wine,NV,American,Blackberry,Hausfrau Hooch,$22.00 ,Bronze
4R Ranch Vineyards & Winery,TX,Cab Sauv - $30.00 - $34.99,2020,Texas,Cabernet Sauvignon,,$34.00 ,Bronze
4R Ranch Vineyards & Winery,TX,Malbec - Up to - $36.99,2020,Texas High Plains,Malbec,,$34.00 ,Bronze
6th Sense,CA,Syrah/Shiraz - Up to - $26.99,2019,Lodi,Syrah,,$18.00 ,Gold
7 Deadly,CA,Red Blend: Zinfandel leading blend - Up to - $24.99,2019,Lodi,Red,,$15.99 ,Gold
7 Deadly,CA,Zinfandel - Up to - $16.99,2018,Lodi,Zinfandel,Zins,$15.99 ,Gold
7 Deadly,CA,Cab Sauv - $13.00 - $15.99,2019,Lodi,Cabernet Sauvignon,,$15.99 ,Silver
7 Vines Vineyard,MN,Red Blend: Zinfandel leading blend - $25.00 and Over,2019,American,Reminisce,,$40.00 ,Best of Class
7 Vines Vineyard,MN,Cab Sauv - $55.00 - $59.99,2018,American,Cabernet Sauvignon,,$55.00 ,Gold
7 Vines Vineyard,MN,Red Blend: Merlot leading blend - $30.00 and Over,2019,American,True North Red,,$36.00 ,Silver
7 Vines Vineyard,MN,White Blends - $28.00 and Over,2020,American,True North Blanc,,$29.00 ,Silver
'75 Wine Company,CA,Cab Sauv - $23.00 - $25.99,2020,Mendocino County,Cabernet Sauvignon,Feliz Creek Vineyard,$25.00 ,Silver
Ab Astris Winery,TX,All Other Red Varietals,2017,Texas High Plains,Sagrantino,,$36.00 ,Gold
Ab Astris Winery,TX,Cab Sauv - $39.00 - $41.99,2017,Texas High Plains,Cabernet Sauvignon,,$41.00 ,Gold
Ab Astris Winery,TX,Other White Varietals,2020,Fredricksburg; Texas Hill Country,Clairette Blanche,,$35.00 ,Gold
Ab Astris Winery,TX,White Blends - $28.00 and Over,2020,Texas,Stello,,$32.00 ,Gold
Ab Astris Winery,TX,Cab Sauv - $42.00 - $45.99,2018,Texas High Plains,Cabernet Sauvignon,,$43.00 ,Silver
Ab Astris Winery,TX,Petite Sirah - $35.00 - $39.99,2018,Texas High Plains,Petite Sirah,,$39.00 ,Silver
Ab Astris Winery,TX,Red Blend: Carignane; Graziano or Tannat leading blend,2018,Texas High Plains,Duo,,$46.00 ,Silver
Ab Astris Winery,TX,Roussanne,2020,Fredricksburg; Texas Hill Country,Roussanne,,$30.00 ,Silver
Ab Astris Winery,TX,Tannat,2018,Texas High Plains,Tannat,,$47.00 ,Silver
Ab Astris Winery,TX,Tempranillo - $35 and Over,2018,Texas High Plains,Tempranillo,,$43.00 ,Silver
Above the Curve Vineyard,WA,Packaging: Modern Illustrations,2020,Yakima Valley,Semillion,Old Vine,$18.00 ,Gold
Above the Curve Vineyard,WA,Semillon,2020,Yakima Valley,Semillion,,$18.00 ,Gold
Abrupt Vineyards,CA,Cab Sauv - $39.00 - $41.99,2018,Alexander Valley,Cabernet Sauvignon,,$39.00 ,Gold
Abrupt Vineyards,CA,Pinot Noir - $36.00 - $39.99,2019,Sonoma County,Pinot Noir,,$39.00 ,Gold
