2022 San Francisco Chronicle Wine Competition Medal Winners Sorted by Winery,,,,,,,,
Winery,State,Category Name,Vintage,AVA,Vineyard,Variety,Price,Award
Domaine Degher Wines,CA,Cab Sauv - $65.00 - $71.99,2018,Paso Robles,Cabernet Sauvignon,,$71.99 ,Double Gold
Domaine Degher Wines,CA,Port - $33.00 and Over,2009,Paso Robles,Mojo Dessert,,$56.00 ,Silver
Domaine Degher Wines,CA,Grenache - $35.00 and Over,NV,Paso Robles,Grenache,2017 - 2019,$39.00 ,Bronze
Domaine Pouillon,WA,Red Blend: Grenache leading blend - $30.00 and Over,2018,Horse Heaven Hills,Katydid,,$31.00 ,Gold
Domaine Pouillon,WA,Mourvedre,2018,Horse Heaven Hills,Mourvedre,,$50.00 ,Bronze
Domaine Pouillon,WA,Red Blend: Syrah leading blend - $36.00 and Over,2017,Columbia Gorge,Fleur de Lyle,,$47.00 ,Bronze
Domaine Serene,OR,Chardonnay - $46.00 and Over,2019,Dundee Hills,Chardonnay,Evenstad Reserve,$65.00 ,Silver
Domaine Serene,OR,Pinot Noir - $51.00 - $57.99,2018,Willamette Valley,Pinot Noir,Yamhill Cuvee,$52.00 ,Silver
Domaine Serene,OR,Pinot Noir - $67.00 and Over,2018,Willamette Valley,Pinot Noir,Evenstad Reserve,$80.00 ,Silver
Domaine Serene,OR,Pinot Noir - $67.00 and Over,2018,Eola-Amity Hills,Pinot Noir,Jerusalem Hill Vineyard,$95.00 ,Silver
Domaine Serene,OR,Red Blend: Syrah leading blend - $36.00 and Over,2018,Oregon,'Grand Cheval' Oregon Red Wine,,$85.00 ,Silver
Domenico Winery,CA,Cab Sauv - $42.00 - $45.99,2017,Napa,Cabernet Sauvignon,,$45.00 ,Gold
Domenico Winery,CA,Barbera - $35.00 and Over,2017,Lodi,Barbera,,$38.00 ,Silver
Domenico Winery,CA,Chardonnay - $36.00 - $39.99,2019,Santa Cruz Mountains,Chardonnay,,$36.00 ,Silver
Domenico Winery,CA,Pinot Noir - $48.00 - $50.99,2018,Santa Cruz Mountains,Pinot Noir,,$49.00 ,Silver
Domenico Winery,CA,Syrah/Shiraz - $35.00 - $39.99,2017,Amador County,Syrah,,$36.00 ,Bronze
Dono dal Cielo,CA,Petite Sirah - $35.00 - $39.99,2018,Sierra Foothills,Petite Sirah,,$38.00 ,Gold
Dono dal Cielo,CA,Viognier - $27.00 and Over,2019,Sierra Foothills,Viognier,,$28.00 ,Silver
Dono dal Cielo,CA,Zinfandel - $35.00 - $38.99,2018,Sierra Foothills,Zinfandel,,$36.00 ,Silver
Donovan-Parke,CA,Chardonnay - $16.00 - $17.99,2020,California,Chardonnay,,$16.95 ,Gold
Donovan-Parke,CA,Cab Sauv - $13.00 - $15.99,2019,California,Cabernet Sauvignon,,$15.95 ,Silver
Donovan-Parke,CA,Sauvignon Blanc/Fume - $16.00 - $19.99,2020,California,Sauvignon Blanc,,$16.95 ,Silver
Donovan-Parke,CA,Dry Rose/Blush - RS .3 - .99,2020,California,Rose,,$15.95 ,Bronze
Donovan-Parke,CA,Pinot Noir - $15.00 - $19.99,2020,California,Pinot Noir,,$15.95 ,Bronze
Doohickey,CT,All Other Red Blends: Up to - $22.99,2020,California,Red Blend,,$13.99 ,Silver
Double Bond,NV,Dry Rose/Blush - RS 0,2019,Ballard Canyon,Grenache Rose,Estate,$29.00 ,Silver
Double Bond,NV,Grenache Blanc,2019,Ballard Canyon,Grenache Blanc,Estate,$29.00 ,Bronze
Doukenie Winery,VA,Merlot - $40.00 and Over,2016,Virginia; Loudoun County,Merlot,Dionysus,$65.00 ,Double Gold
Doukenie Winery,VA,Sauvignon Blanc/Fume - $26.00 and Over,2020,Virginia; Loudoun County,Sauvignon Blanc,,$27.00 ,Gold
Doukenie Winery,VA,Chardonnay - $36.00 - $39.99,2019,Virginia; Loudoun County,Chardonnay,,$36.00 ,Silver
Doukenie Winery,VA,Petit Verdot - $40.00 and Over,2019,Virginia; Loudoun County,Petit Verdot,,$45.00 ,Silver
Doukenie Winery,VA,Red Blend: Cabernet Franc leading blend,2019,Virginia; Loudoun County,Zeus,,$34.00 ,Silver
Doukenie Winery,VA,Viognier - $27.00 and Over,2020,Virginia; Loudoun County,Viognier,,$35.00 ,Silver
Dove Ridge Winery,TX,Sangiovese - $35.00 and Over,2019,Parker County,Sangiovese,,$35.00 ,Silver
Dove Ridge Winery,TX,Riesling - Dry <.99 RS,2020,Texas High Plains,Riesling,,$46.00 ,Bronze
Dracaena Wines,CA,Cab Franc - $30.00 - $39.99,2019,Paso Robles,Cabernet Franc,,$34.00 ,Gold
Drava Wines,CA,Petite Sirah - Up to - $27.99,2018,Lodi,Petite Sirah,,$26.00 ,Double Gold
Drava Wines,CA,Red Blend: Zinfandel leading blend - $25.00 and Over,2018,Lodi,Maribor,,$34.00 ,Silver
Drava Wines,CA,Zinfandel - $26.00 - $28.99,2018,Lodi,Zinfandel,Wegat Vineyard,$26.00 ,Silver
Drava Wines,CA,Zinfandel - $26.00 - $28.99,2018,Lodi,Zinfandel,Mohr-Fry Ranches,$26.00 ,Silver
Dressage,CA,Chardonnay - $11.00 - $13.99,2019,Central Coast,Chardonnay,,$13.00 ,Silver
Drew Dowsett Wines,CA,Cab Sauv - $42.00 - $45.99,2019,Sonoma County,Cabernet Sauvignon,,$45.00 ,Silver
Drew Dowsett Wines,CA,Red Blend: Sangiovese leading blend,2019,California,Moxie,,$45.00 ,Silver
Drew Dowsett Wines,CA,Vermentino,2020,Suisun Valley,Vermentino,,$22.00 ,Bronze
Driftwood Estate Winery,TX,Alicante Bouschet,2017,Texas High Plains,Alicante Bouschet,Newsom Vineyards,$35.00 ,Best of Class
Driftwood Estate Winery,TX,Cab Sauv - $35.00 - $38.99,2018,Texas Hill Country,Cabernet Sauvignon,Lone Star,$35.00 ,Gold
Driftwood Estate Winery,TX,Muscat,2021,Texas High Plains,Orange Muscat,Newsom Vineyard,$25.00 ,Gold
Driftwood Estate Winery,TX,Pinot Gris/Grigio - $20.00 and Over,2021,Texas High Plains,Pinot Grigio,Newsom Vineyards,$30.00 ,Gold
Driftwood Estate Winery,TX,Sangiovese - $35.00 and Over,2017,Texas High Plains,Sangiovese,Newsom Vineyards,$35.00 ,Gold
Driftwood Estate Winery,TX,Syrah/Shiraz - $40.00 - $43.99,2017,Texas Hill Country,Syrah,,$40.00 ,Gold
Driftwood Estate Winery,TX,Cab Sauv - $35.00 - $38.99,2018,Texas High Plains,Cabernet Sauvignon,Newsom Vineyard,$35.00 ,Silver
Driftwood Estate Winery,TX,Malbec - Up to - $36.99,2017,Texas High Plains,Malbec,Newsom Vineyard,$30.00 ,Silver
Driftwood Estate Winery,TX,Red Blend: Sangiovese leading blend,2018,Texas,Sangiovese,,$35.00 ,Silver
Driftwood Estate Winery,TX,Tempranillo - $35 and Over,2018,Texas High Plains,Tempranillo,Newsom Vineyard,$35.00 ,Silver
Driftwood Estate Winery,TX,Red Blend: Cab Sauv leading blend - $35.00 - $44.99,2017,Texas High Plains,Alamo Red,Newsom Vineyard,$35.00 ,Bronze
Driftwood Estate Winery,TX,Red Blend: Cab Sauv leading blend - $35.00 - $44.99,2018,Texas,Longhorn Red,,$35.00 ,Bronze
Drive Wines,CA,Syrah/Shiraz - $35.00 - $39.99,2019,Sonoma Coast,Syrah,,$36.00 ,Gold
Drive Wines,CA,Zinfandel - $29.00 - $31.99,2019,Dry Creek Valley,Zinfandel,Old Vines,$30.00 ,Silver
DRM Winery,CA,Cab Sauv - $50.00 - $54.99,2016,Napa Valley,Cabernet Sauvignon,,$50.00 ,Bronze
Drum Roll Wine,WA,White Blends - Up to - $21.99,2020,Columbia Valley,Drum Roll White,,$13.99 ,Double Gold
Drum Roll Wine,WA,Syrah/Shiraz - Up to - $26.99,2018,Columbia Valley,Syrah,Seurat,$17.99 ,Silver
Drum Roll Wine,WA,Red Blend: Barbera leading blend,2019,Columbia Valley,Red Blend,Drum Roll Red,$15.99 ,Bronze
Dry Creek Vineyard,CA,Sauvignon Blanc/Fume - $16.00 - $19.99,2020,Sonoma County,Sauvignon Blanc,Fume Blanc,$16.00 ,Double Gold
Dry Creek Vineyard,CA,Red Blend: Cab Sauv leading blend - $45.00 - $55.99,2018,Dry Creek Valley,The Mariner,,$50.00 ,Gold
Dry Creek Vineyard,CA,Zinfandel - $35.00 - $38.99,2019,Dry Creek Valley,Zinfandel,Old Vine,$38.00 ,Gold
Dry Creek Vineyard,CA,Cab Sauv - $30.00 - $34.99,2018,Dry Creek Valley,Cabernet Sauvignon,,$32.00 ,Silver
Dry Creek Vineyard,CA,Chenin Blanc,2020,Clarksburg,Chenin Blanc,,$16.00 ,Silver
Dry Creek Vineyard,CA,Zinfandel - $26.00 - $28.99,2019,Sonoma County,Zinfandel,Heritage Vines,$26.00 ,Silver
Dry Creek Vineyard,CA,Sauvignon Blanc/Fume - $20.00 - $ 25.99,2020,Dry Creek Valley,Sauvignon Blanc,,$20.00 ,Bronze
DuCard Vineyards,VA,Chardonnay - $29.00 - $32.99,2019,Virginia,Chardonnay,,$32.00 ,Gold
DuCard Vineyards,VA,Viognier - $27.00 and Over,2019,Virginia,Viognier,Signature,$32.00 ,Bronze
Duchman Family Winery,TX,Aglianico,2016,Texas High Plains,Aglianico,Oswald Vineyard,$40.00 ,Silver
Duchman Family Winery,TX,All Other Red Blends: $35.00 and Over (Must not have leading varietal listed topping blend,NV,Texas,Progression 2,,$48.00 ,Silver
Duchman Family Winery,TX,Montepulciano,2017,Texas High Plains,Montepulciano,Oswald Vineyard,$35.00 ,Silver
Duchman Family Winery,TX,Other White Varietals,2019,Texas High Plains,Trebbiano,Bingham Family Vineyard,$25.00 ,Silver
Duchman Family Winery,TX,Roussanne,2020,Texas High Plains,Roussanne,,$24.00 ,Silver
Duchman Family Winery,TX,Tempranillo - $35 and Over,2016,Texas Hill Country,Tempranillo,Salt Lick Vineyard,$52.00 ,Silver
Duchman Family Winery,TX,Vermentino,2019,Texas High Plains,Vermentino,Bingham Family Vineyards,$26.00 ,Silver
Duchman Family Winery,TX,Viognier - Up to - $26.99,2019,Texas High Plains,Viognier,Bingham Family Vineyard,$25.00 ,Silver
Duchman Family Winery,TX,Sangiovese - Up to - $34.99,2019,Texas High Plains,Sangiovese,Reddy Vineyards,$28.00 ,Bronze
Due Ruscelli,CA,All Other Red Blends: $35.00 and Over (Must not have leading varietal listed topping blend,2018,Russian River Valley,Primitivo,,$48.00 ,Gold
Due Ruscelli,CA,Primitivo,2018,Russian River Valley,Primitivo,Tramonto,$46.00 ,Silver
Due Ruscelli,CA,Primitivo,2018,Russian River Valley,Primitivo,Luna,$46.00 ,Bronze
Dumb Luck,CA,Petite Sirah - $46.00 and Over,2019,Lake County,Petite Sirah,,$50.00 ,Silver
Durant & Booth,CA,Cab Sauv - $35.00 - $38.99,2018,Napa Valley,Cabernet Sauvignon,Bourbon Barrel Aged,$35.00 ,Double Gold
Durst Winery & Estate,CA,Chardonnay - $26.00 - $28.99,2019,Lodi,Chardonnay,,$26.00 ,Gold
Durst Winery & Estate,CA,Cab Sauv - $26.00 - $29.99,2017,Lodi,Cabernet Sauvignon,,$29.99 ,Silver
Durst Winery & Estate,CA,Rose Sparkling,NV,Lodi,Sparkling Rose,,$28.00 ,Silver
Dusk To Dawn,CA,Pinot Noir - $28.00 - $31.99,2020,Russian River Valley,Pinot Noir,,$29.95 ,Double Gold
Dutcher Crossing,CA,Cab Sauv - $35.00 - $38.99,2018,Dry Creek Valley,Cabernet Sauvignon,Proprietors Reserve,$36.00 ,Gold
Dutcher Crossing,CA,Petite Sirah - $35.00 - $39.99,2018,Dry Creek Valley,Petite Sirah,Proprietor's Reserve,$36.00 ,Gold
Dutcher Crossing,CA,Zinfandel - $48.00 to $59.99,2019,Dry Creek Valley,Zinfandel,Maple Vineyard Bills Block,$59.00 ,Gold
Dutcher Crossing,CA,Zinfandel - $48.00 to $59.99,2019,Dry Creek Valley,Zinfandel,Maple Vineyard,$50.00 ,Gold
Dutcher Crossing,CA,Chardonnay - $40.00 - $45.99,2019,Russian River Valley,Chardonnay,Bacigalupi Vineyard,$44.00 ,Silver
Dutcher Crossing,CA,Chardonnay - $40.00 - $45.99,2019,Alexander Valley,Chardonnay,Stuhlmuller Vineyard,$42.00 ,Silver
Dutcher Crossing,CA,Syrah/Shiraz - $35.00 - $39.99,2018,Dry Creek Valley,Syrah,Proprietors Reserve,$36.00 ,Silver
Dutcher Crossing,CA,Cab Sauv - $50.00 - $54.99,2017,Dry Creek Valley,Cabernet Sauvignon,Taylor Reserve,$52.00 ,Bronze
E 16,CA,Barbera - $35.00 and Over,2019,Fair Play,Barbera,,$35.00 ,Gold
E 16,CA,Pinot Noir- $58.00 - $66.99,2018,Santa Lucia Highlands,Pinot Noir,,$60.00 ,Gold
E 16,CA,Syrah/Shiraz - $35.00 - $39.99,2017,Fair Play,Syrah,,$35.00 ,Silver
Earthquake,CA,Cab Sauv - $26.00 - $29.99,2019,Lodi,Cabernet Sauvignon,,$26.00 ,Silver
Earthquake,CA,Zinfandel - $26.00 - $28.99,2019,Lodi,Zinfandel,,$26.00 ,Silver
Earth's Draw,CA,Merlot - $19.00 - $22.99,2020,Sonoma County,Merlot,,$22.00 ,Silver
Eberle,CA,Cab Sauv - $50.00 - $54.99,2018,Paso Robles,Cabernet Sauvignon,,$50.00 ,Best of Class
Eberle,CA,Dry Rose/Blush Blend - RS 0,2021,Paso Robles,Cotes-du-Robles Rose,,$28.00 ,Double Gold
Eberle,CA,Muscat,2021,Paso Robles,Muscat Canelli,,$24.00 ,Double Gold
Eberle,CA,Red Blend: Grenache leading blend - $30.00 and Over,2019,Paso Robles,Cotes-Du-Robles,,$34.00 ,Double Gold
Eberle,CA,Cab Sauv - $26.00 - $29.99,2018,Paso Robles,Cabernet Sauvignon,Vineyard Selection,$26.00 ,Gold
Eberle,CA,White Blends - $22.00 - $27.99,2020,Paso Robles,Cotes-du-Robles Blanc,,$26.00 ,Gold
Eberle,CA,Chardonnay - $26.00 - $28.99,2020,Paso Robles,Chardonnay,,$26.00 ,Silver
Eberle,CA,Viognier - $27.00 and Over,2020,Paso Robles,Viognier,,$28.00 ,Silver
Eberle,CA,Zinfandel - $32.00 - $34.99,2019,Paso Robles,Zinfandel,Rancho Santa Helena; Steinbeck; French Camp; Vaquero Ridge Vineyards,$32.00 ,Silver
Eberle,CA,Syrah/Shiraz - $35.00 - $39.99,2019,Paso Robles,Syrah,Steinbeck Vineyard,$35.00 ,Bronze
Ecluse Wines,CA,Red Blend: Carignane; Graziano or Tannat leading blend,2019,Paso Robles,Insider,,$54.00 ,Best of Class
Ecluse Wines,CA,Cab Sauv - $50.00 - $54.99,2019,Paso Robles,Cabernet Sauvignon,,$52.00 ,Double Gold
Ecluse Wines,CA,Malbec - $37.00 and Over,2019,Paso Robles,Malbec,,$56.00 ,Double Gold
Ecluse Wines,CA,Red Blend: Malbec leading blend,2019,Paso Robles,Intonation,,$52.00 ,Double Gold
Ecluse Wines,CA,Red Blend: Syrah leading blend - $36.00 and Over,2019,Paso Robles,Improv,,$46.00 ,Gold
Ecluse Wines,CA,Syrah/Shiraz - $44.00 and Over,2019,Paso Robles,Syrah,,$46.00 ,Gold
Ecluse Wines,CA,Merlot - $40.00 and Over,2019,Paso Robles,Merlot,,$46.00 ,Silver
Ecluse Wines,CA,Red Blend: Cab Sauv leading blend - $45.00 - $55.99,2019,Paso Robles,El Tempo,,$52.00 ,Silver
Ecluse Wines,CA,Red Blend: Malbec leading blend,2019,Paso Robles,Ensemble,,$50.00 ,Silver
Ecluse Wines,CA,Zinfandel - $42.00 - $47.99,2019,Paso Robles,Zinfandel,,$46.00 ,Silver
Ecluse Wines,CA,Cab Sauv - $72.00 - $89.99,2018,Paso Robles,Cabernet Sauvignon,Lock Vineyard,$74.00 ,Bronze
Ecluse Wines,CA,Red Blend: Syrah leading blend - $36.00 and Over,2019,Paso Robles,Rendition,,$48.00 ,Bronze
Eco Terreno Wines,CA,Cab Sauv - $60.00 - $64.99,2018,Alexander Valley,Cabernet Sauvignon,Lyon Vineyard,$60.00 ,Gold
Eco Terreno Wines,CA,Sauvignon Blanc/Fume - $20.00 - $ 25.99,2018,Napa,Sauvignon Blanc,Cuvee Acero,$22.00 ,Gold
Eco Terreno Wines,CA,Cab Sauv - $30.00 - $34.99,2018,Alexander Valley,Cabernet Sauvignon,,$32.00 ,Silver
Eco Terreno Wines,CA,Dry Rose/Blush - RS .001 - .099,2020,Alexander Valley,Pink Pride Rose,,$22.00 ,Silver
Eco Terreno Wines,CA,Red Blend: Cab Sauv leading blend - $25.00 - $34.99,2019,Alexander Valley,Red Wine,Cuvee Tierra,$27.00 ,Silver
Eco Terreno Wines,CA,Sauvignon Blanc/Fume - $20.00 - $ 25.99,2019,Alexander Valley,Sauvignon Blanc,Cuvee Acero,$22.00 ,Silver
Eco Terreno Wines,CA,Cab Sauv - $30.00 - $34.99,2017,Alexander Valley,Cabernet Sauvignon,Certified organic & Biodynamic,$32.00 ,Bronze
EDELWEISS,CA,Cab Sauv - $65.00 - $71.99,2019,Mt Veeder,Cabernet Sauvignon,Founders Reserve,$65.00 ,Silver
Eden Hill Vineyard,TX,Albarino,2020,Texas High Plains,Albarino,,$26.00 ,Double Gold
Eden Hill Vineyard,TX,Petite Sirah - $46.00 and Over,2019,Texas High Plains,Petite Sirah,,$52.00 ,Double Gold
Eden Hill Vineyard,TX,Sweet Red -,2020,Texas High Plains,Garden Red,,$29.00 ,Double Gold
Eden Hill Vineyard,TX,Tempranillo - $35 and Over,2020,Texas,Tempranillo,Reserve,$45.00 ,Double Gold
Eden Hill Vineyard,TX,Aglianico,2019,Texas High Plains,Aglianico,,$39.00 ,Silver
Eden Hill Vineyard,TX,Red Blend: Cab Sauv leading blend - $56.00 and Over,2020,Texas High Plains,Wine=C2,,$59.00 ,Silver
Eden Hill Vineyard,TX,Red Blend: Tempranillo leading blend,2020,Texas High Plains,Divine Red,,$37.00 ,Silver
Eden Hill Vineyard,TX,Roussanne,2019,Texas High Plains,Roussanne,Reserve,$29.00 ,Silver
Eden Hill Vineyard,TX,Petit Verdot - $40.00 and Over,2020,Texas High Plains,Petit Verdot,,$44.00 ,Bronze
Edna Valley,CA,Cab Sauv - $16.00 - $18.99,2019,Central Coast,Cabernet Sauvignon,,$17.00 ,Gold
Edna Valley,CA,Sauvignon Blanc/Fume - $16.00 - $19.99,2020,California,Sauvignon Blanc,,$16.00 ,Gold
Edna Valley,CA,Chardonnay - $14.00 - $15.99,2019,Central Coast,Chardonnay,,$15.00 ,Silver
Edna Valley,CA,Merlot - $15.00 - $18.99,2019,Central Coast,Merlot,,$16.00 ,Silver
Edna Valley,CA,Dry Rose/Blush - RS 0,2020,California,Rose,,$18.00 ,Bronze
Educated Guess,CA,Pinot Noir - $20.00 - $23.99,2019,Sonoma Coast,Pinot Noir,,$23.99 ,Best of Class
Educated Guess,CA,Chardonnay - $18.00 - $ 19.99,2019,Sonoma Coast,Chardonnay,,$19.99 ,Double Gold
Educated Guess,CA,Cab Sauv - $19.00 - $22.99,2019,Napa County,Cabernet Sauvignon,,$22.99 ,Silver
EG by Educated Guess,CA,Cab Sauv - $16.00 - $18.99,2019,North Coast,Cabernet Sauvignon,,$18.99 ,Silver
Ehrenberg Cellars,CA,Port - $33.00 and Over,2010,El Dorado County,Holy Schmidt Port,Red Dessert Wine,$70.00 ,Double Gold
Ehrenberg Cellars,CA,Brut,NV,California,Brut Sparkling,Schmidt,$26.00 ,Bronze
Ehrenberg Cellars,CA,Carignan/Carignane,2016,Contra Costa County,Carignane,Schmidt wines,$46.00 ,Bronze
Ehrenberg Cellars,CA,Zinfandel - $35.00 - $38.99,2018,Livermore Valley,Zinfandel,,$35.00 ,Bronze
Ehret Family Winery,CA,Cab Sauv - $60.00 - $64.99,2017,Knights Valley,Cabernet Sauvignon,Bellas Bavarian Lion Vineyards,$60.00 ,Gold
Ehret Family Winery,CA,Cab Sauv - $72.00 - $89.99,2017,Knights Valley,Cabernet Sauvignon,Bavarian Lion Vineyards,$75.00 ,Silver
Ehret Family Winery,CA,Cab Sauv - $90.00 and Over,2017,Knights Valley,Cabernet Sauvignon,Bavarian Lion Vineyards,$120.00 ,Silver
Ehret Family Winery,CA,Merlot - $40.00 and Over,2017,Knights Valley,Merlot,Bavarian Lion Vineyards,$55.00 ,Silver
Ehret Family Winery,CA,Sauvignon Blanc/Fume - $26.00 and Over,2020,Knights Valley,Sauvignon Blanc,Bavarian Lion Vineyards,$35.00 ,Silver
Ehret Family Winery,CA,Zinfandel - $60.00 and Over,2020,Knights Valley,Zinfandel,Bavarian Lion Vineyards,$60.00 ,Silver
El Pino Club,CA,Pinot Noir- $58.00 - $66.99,2019,Sta. Rita Hills,Pinot Noir,Sea Floored,$60.00 ,Double Gold
El Tiburon,CA,Zinfandel - Up to - $16.99,2018,Lodi,Zinfandel,,$12.99 ,Gold
Elaine,CA,Pinot Noir - $48.00 - $50.99,2019,Russian River Valley,Pinot Noir,Barrel Aged,$50.00 ,Gold
Elaine,CA,Chardonnay - $46.00 and Over,2019,Russian River Valley,Chardonnay,,$50.00 ,Silver
Eleanor,CA,Red Blend: Syrah leading blend - $36.00 and Over,2017,Napa County/Sonoma County,Red Blend,Eleanor,$80.00 ,Silver
Element 79 Vineyards,CA,Petite Sirah - $35.00 - $39.99,2018,El Dorado,Petite Sirah,,$39.00 ,Double Gold
Element 79 Vineyards,CA,Zinfandel - $26.00 - $28.99,2020,Fair Play,Zinfandel,Inside Out,$28.00 ,Double Gold
Element 79 Vineyards,CA,Zinfandel - $32.00 - $34.99,2018,El Dorado,Zinfandel,High Elevation,$33.00 ,Double Gold
Element 79 Vineyards,CA,Red Blend: Syrah leading blend - $36.00 and Over,2018,El Dorado,Olivia's Cuvee - Estate Red Blend,,$55.00 ,Gold
Element 79 Vineyards,CA,Cab Sauv - $42.00 - $45.99,2018,El Dorado,Cabernet Sauvignon,,$42.00 ,Silver
Element 79 Vineyards,CA,Chardonnay - $26.00 - $28.99,2020,El Dorado,Chardonnay,,$28.00 ,Silver
Element 79 Vineyards,CA,Dry Rose/Blush Blend - RS 0,2020,El Dorado,Abbys Rose,Field Blend,$28.00 ,Silver
Element 79 Vineyards,CA,Red Blend: Syrah leading blend - Up to - $35.99,2020,El Dorado,Rare Earth - Estate Red Blend,Co fermented,$34.00 ,Silver
Element 79 Vineyards,CA,Red Blend: Zinfandel leading blend - $25.00 and Over,2018,El Dorado,Alloy,Estate,$35.00 ,Silver
Element 79 Vineyards,CA,Syrah/Shiraz - $40.00 - $43.99,2018,El Dorado,Syrah,,$42.00 ,Silver
Elevation Ten Winery,CA,Malbec - $37.00 and Over,2018,Fair Play,Malbec,,$55.00 ,Double Gold
Elevation Ten Winery,CA,Cab Sauv - $72.00 - $89.99,2017,Alexander Valley,Cabernet Sauvignon,,$75.00 ,Silver
Elevation Ten Winery,CA,Red Blend: Cab Sauv leading blend - $45.00 - $55.99,2018,California,Proprietor's Blend,,$50.00 ,Silver
Elevation Ten Winery,CA,Chardonnay - $36.00 - $39.99,2019,Clarksburg,Chardonnay,,$37.00 ,Bronze
Elevation Ten Winery,CA,White Blends - $28.00 and Over,2020,Clarksburg,Proprietor's Vin Blanc,,$30.00 ,Bronze
Eleven,WA,Cab Sauv - $60.00 - $64.99,2019,Red Mountain,Cabernet Sauvignon,,$60.00 ,Gold
Eleven,WA,Mourvedre,2018,Washington,Mourvedre,The Deputy,$45.00 ,Gold
Eleven,WA,All Other Red Blends: $35.00 and Over (Must not have leading varietal listed topping blend,2019,Washington State,Lemma,,$40.00 ,Silver
Eleven,WA,Malbec - $37.00 and Over,2019,Yakima Valley,Malbec,,$41.00 ,Silver
Eleven,WA,Petit Verdot - $40.00 and Over,2019,Yakima Valley,Petit Verdot,,$50.00 ,Silver
Eleven,WA,Red Blend: Petit Verdot leading blend,2019,Washington,La Ronde,,$40.00 ,Silver
Eleven,WA,Roussanne,2020,Yakima Valley,Roussanne,,$30.00 ,Silver
Eleven,WA,Syrah/Shiraz - $40.00 - $43.99,2019,Yakima Valley,Syrah,Prima Donna,$40.00 ,Silver
Eleven,WA,Viognier - $27.00 and Over,2020,Yakima Valley,Viognier,,$30.00 ,Silver
Elias,NY,Chardonnay - $46.00 and Over,2019,Russian River Valley,Chardonnay,,$56.00 ,Double Gold
Elias,NY,Pinot Noir- $58.00 - $66.99,2017,Russian River Valley,Pinot Noir,,$62.00 ,Gold
Elkhorn Ridge Vineyards & Winery,CA,Pinot Noir - $28.00 - $31.99,2019,Willamette Valley,Pinot Noir,777,$29.00 ,Best of Class
Ely by Callaway Cellars,WA,Cab Sauv - $23.00 - $25.99,2019,Napa Valley,Cabernet Sauvignon,Reserve,$24.99 ,Double Gold
Ely by Callaway Cellars,WA,Chardonnay - $16.00 - $17.99,2020,Paso Robles,Chardonnay,,$16.99 ,Gold
Encore,CA,Cab Sauv - Up to - $12.99,2020,Lodi,Cabernet Sauvignon,Encore Heritage Vineyards,$11.99 ,Silver
Encore,CA,Pinot Noir - Up to - $14.99,2019,Monterey,Pinot Noir,,$11.99 ,Silver
End Of The Day Wines,CA,Cab Sauv - $30.00 - $34.99,2019,Paso Robles,Cabernet Sauvignon,,$30.00 ,Gold
Enfold,CA,Red Blend: Mourvedre leading blend,2015,Adelaida District,GSM,,$33.00 ,Silver
Engelmann Cellars,CA,White Blends - $22.00 - $27.99,NV,California,RS,,$22.00 ,Bronze
English Newsom,TX,Riesling - Dry <.99 RS,2020,Texas High Plains,Riesling,,$19.00 ,Best of Class
English Newsom,TX,Albarino,2019,Texas High Plains,Albarino,,$27.00 ,Gold
English Newsom,TX,Merlot - $27.00 - $30.99,2019,Texas High Plains,Merlot,,$30.00 ,Gold
English Newsom,TX,Pinot Gris/Grigio - $20.00 and Over,2019,Texas High Plains,Pinot Grigio,,$23.00 ,Gold
English Newsom,TX,Tempranillo - Up to - $34.99,2019,Texas High Plains,Tempranillo,,$30.00 ,Gold
English Newsom,TX,Cab Sauv - $35.00 - $38.99,2019,Texas High Plains,Cabernet Sauvignon,,$35.00 ,Silver
English Newsom,TX,Montepulciano,2019,Texas High Plains,Montepulciano,,$30.00 ,Silver
English Newsom,TX,Mourvedre,2019,Texas High Plains,Mourvedre,,$30.00 ,Silver
English Newsom,TX,Other White Varietals,2020,Texas High Plains,Picardan,,$23.00 ,Silver
English Newsom,TX,Red Blend: Tempranillo leading blend,2019,Texas High Plains,Road Less Traveled,,$30.00 ,Silver
English Newsom,TX,Roussanne,2019,Texas High Plains,Roussanne,,$23.00 ,Silver
English Newsom,TX,All Other Red Varietals,2019,Texas High Plains,Sagrantino,,$30.00 ,Bronze
English Newsom,TX,Dry Rose/Blush - RS 0,2020,Texas High Plains,Rainy Rose,,$23.00 ,Bronze
English Newsom,TX,Other White Varietals,2019,Texas High Plains,Trebbiano,,$23.00 ,Bronze
English Newsom,TX,Viognier - Up to - $26.99,2019,Texas High Plains,Viognier,Reserve,$23.00 ,Bronze
Enoch's Stomp,TX,Cab Sauv - $46.00 - $49.99,2018,American,Cabernet Sauvignon,Bin No. 18,$49.00 ,Silver
Enoch's Stomp,TX,Chardonnay - $33.00 - $35.99,2019,American,Chardonnay,,$33.00 ,Silver
Enoch's Stomp,TX,Cab Sauv - $46.00 - $49.99,2019,Texas,Cabernet Sauvignon,,$49.00 ,Bronze
Entropy Cellars,CA,Cab Sauv - $30.00 - $34.99,2019,Livermore Valley,Cabernet Sauvignon,,$32.00 ,Silver
Entropy Cellars,CA,Zinfandel - $26.00 - $28.99,2018,California,Zinfandel,Fusion,$26.00 ,Silver
Erath,WA,Dry Rose/Blush - RS 0,2020,Oregon,Rose,,$14.00 ,Double Gold
